"Product sold","Nb of reviews","Total Votes","Helpful votes","Nb of 5 star reviews","% of 5 star review","5 star reviews paid","5 star reviews unpaid","5 star reviews paid on verified purchase"
"Seiko Men's SSC019 Solar Diver Chronograph Watch",4,221,210,4,100,0,4,0
"Seiko Men's SSC021 Solar Diver Chronograph Watch",5,173,154,4,0,0,4,0
"Seiko Men's SSC081 Adventure-Solar Classic Casual Watch",7,612,567,4,0,0,4,0
"SEIKO PROSPEX diver scuba SBDC007 men's watches",5,175,155,4,0,0,4,0
"Seiko QHE083SLH Alarm Clock - 2.25 in. Wide",8,435,424,4,0,0,4,0
"Seiko QHE086SLH Alarm Clock - 3.5 in. Wide",6,208,203,4,0,0,4,0
"Seiko Wall Pendulum Schoolhouse Clock Dark Brown Solid Oak Case",5,156,152,4,0,0,4,0
"Seiko Women's SXD628 Diamond Accented Coutura Watch",4,93,91,4,100,0,4,0
"Seiko Women's SXGA02 Two-Tone Watch with Brown Leather Band",4,115,114,4,100,0,4,0
"Skagen Men's 233XLTMB Grenen Black Titanium Mesh Watch",5,375,352,4,0,0,4,0
"Super Cub DSM RTF",4,371,367,4,100,0,4,0
"Timex Digital Expedition Watch",6,175,163,4,0,0,4,0
"Timex Expedition Shock XL Watch",7,336,301,4,0,0,4,0
"Timex Girls Time Machines Analog Elastic Fabric Strap Watch",8,678,628,4,0,0,4,0
"Timex Intelligent Quartz Fly-Back Chronograph Watch",7,420,363,4,0,0,4,0
"Timex Kids T79081 My First Timex Easy Reader Watch with Pink Faux Leather Strap",6,288,264,4,0,0,4,0
"Timex Men's Ironman Classic 100 Full-Size Watch",11,857,765,4,0,0,4,0
"Timex Women's T5K187 Ironman Essential Pulse Black/Purple Resin Strap Watch",6,446,390,4,0,0,4,0
"Timex Women's Weekender 31mm Watch",4,131,123,4,100,0,4,0
"Tissot Men's TIST0194301603101 Heritage Visodate Stainless Steel Automatic Watch with Brown Leather Band",4,134,118,4,100,0,4,0
"Vacheron Constantin Tour de I'lle Mens Watch 80250/000R-9145",5,358,283,4,0,0,4,0
"Watch Box for 20 Watches XL Extra Large Compartments Fits 65mm Soft Cushions Clearance",6,216,209,4,0,0,4,0
"Wholesale 12 Assorted Geneva Women's Watches",9,485,441,4,0,0,4,0
"Youyoupifa Retro Design Bronze Butterfly and Flower Openwork Cover Pocket Quartz Watch NBW0PA7101-CO3",4,111,104,4,100,0,4,0
"Zenith Defy Xtreme Open El Primero Tourbillon Mens Watch 96.0525.4035/21.M525",5,206,160,4,0,0,4,0
"22mm Super Oyster Type II watch band for SEIKO Diver SKX007/009/011 Curved End",3,101,97,3,100,0,3,0
"AMPM24 Bronze Men's Dragon & Phoenix Dangle Pendant Pocket Quartz Watch + Gift Chain WPK062",5,193,183,3,0,0,3,0
"Anne Klein Women's AK/1470 Bangle Watch and Bracelet Set",3,197,187,3,100,0,3,0
"Anne Klein Women's Two-Tone Link Bracelet Watch",3,97,91,3,100,0,3,0
"Armitron Sport Men's 40/8188 Digital Chronograph Resin Strap Watch",3,155,145,3,100,0,3,0
"Armitron Sport Men's 49mm Digital Chronograph Black Strap Watch",4,183,169,3,0,0,3,0
"Armitron Women's 75/2433BLK Diamond-Accented Silver-Tone Bangle Watch",3,113,108,3,100,0,3,0
"AUDEMARS PIGUET ROYAL OAK TOURBILLON 41 EXTRA THIN ROSE GOLD WATCH 26510OR.OO.1220OR.01",3,297,239,3,100,0,3,0
"Aviator Tough Solar Watch",4,239,223,3,0,0,3,0
"Blancpain Men's 5025.3630.52 Fifty Fathoms Tourbillon Rose Gold Watch",4,151,123,3,0,0,3,0
"Breguet Classique Mens Watch 5335BR/43/9W6",4,175,147,3,0,0,3,0
"Bulova Men's 98H51 Stainless Steel Dress Watch With Croco Leather Band",3,118,111,3,100,0,3,0
"Caddy Bay Collection Black Carbon Fiber Glass Top Watch Case Holds 10 Large Watches",4,143,133,3,0,0,3,0
"Camper Watch",6,279,260,3,0,0,3,0
"Casio Atomic Watch G-Shock MTG930DA-8V Solar Digital",4,167,158,3,0,0,3,0
"Casio G-Shock Atomic Solar Watch",4,235,222,3,0,0,3,0
"Casio G-shock Gulfmaster Analogue-digital Gwn-1000b-1ajf Men's Watch",3,99,96,3,100,0,3,0
"Casio Men's  A158WA-1 Digital Watch",4,459,432,3,0,0,3,0
"Casio Men's AW80V-5BV",5,288,275,3,0,0,3,0
"Casio Men's AWG100-1A G-Shock Multi-Band Solar Atomic Analog Watch",5,318,299,3,0,0,3,0
"Casio Men's DBC32-1A Data Bank Black Digital Watch",4,205,188,3,0,0,3,0
"Casio Men's EF527D-1AV Edifice Stainless Steel Multi-Function Watch",5,201,176,3,0,0,3,0
"Casio Men's FT500WVB-5BV",6,362,337,3,0,0,3,0
"Casio Men's G9300-1 Mudman G-Shock Shock Resistant Multi-Function Sport Watch",7,466,396,3,0,0,3,0
"Casio Men's GA110RG-1A G-Shock Black Watch",4,133,114,3,0,0,3,0
"Casio Men's GD100-1BCR G-Shock X-Large Black Multi-Functional Digital Sport Watch",3,76,69,3,100,0,3,0
"Casio Men's G-Shock Solar Atomic White Watch",3,87,85,3,100,0,3,0
"Casio Men's G Shock Watch",3,83,74,3,100,0,3,0
"Casio Men's GW9100-1 G-Shock Gulfman Solar Atomic Watch",3,97,96,3,100,0,3,0
"Casio Men's GWM850-1CR Atomic Solar G Shock Watch",4,157,153,3,0,0,3,0
"Casio Men's MCW-100H-1AVCF Heavy Duty Design Watch with Black Silicone Band Watch",3,108,104,3,100,0,3,0
"Casio Men's MQ24-7B2 Analog Watch with Black Resin Band",5,212,205,3,0,0,3,0
"Casio Men's MRW200H-7EV Sport Resin Watch",3,201,196,3,100,0,3,0
"Casio Men's PAG40B-2VCF Pathfinder Triple Sensor Blue Watch",5,212,183,3,0,0,3,0
"Casio Men's PAW1500-1V ""Pathfinder"" Multi-Function Digital Watch",7,464,447,3,0,0,3,0
"Casio Men's PAW1500T-7V Pathfinder Multi-Band Solar Atomic Ultimate Watch",7,506,435,3,0,0,3,0
"Casio Men's PAW2000T-7CR ""Pathfinder"" Digital Multi-Function Titanium Watch with Link Bracelet",4,280,260,3,0,0,3,0
"Casio Men's PRW2500-1B ""ProTrek""Multi-Function Digital Watch",4,197,190,3,0,0,3,0
"Casio Men's SGW100B-3V",7,373,348,3,0,0,3,0
